model,methods_evaluated,avg_cosine,cosine_std,avg_bert_precision,avg_bert_recall,avg_bert_f1,bert_f1_std
Claude,150,0.20383112060290362,0.0665812811793217,0.8630005121231079,0.843938410282135,0.853186845779419,0.013009983114898205
GPT,150,0.2233206984760839,0.06786128828449076,0.8691137433052063,0.8544344305992126,0.8615756034851074,0.013958071358501911
Mistral,150,0.22048271860078586,0.06675513597180574,0.8668020367622375,0.8510685563087463,0.8587162494659424,0.0128120556473732
Qwen,150,0.2429610063646737,0.06573583457042488,0.8747466802597046,0.8485899567604065,0.8613466620445251,0.01367077138274908
