system,project,method_id,class,name,cosine_similarity,bert_precision,bert_recall,bert_f1,words,reference_words
CLAUDE,jajuk,106,JSplash,setProgress,0.21396040022328755,0.8275756239891052,0.8376772999763489,0.8325958251953125,41,54
CLAUDE,jajuk,699,Device,getUrl,0.18911883251104813,0.8612320423126221,0.833742618560791,0.8472644090652466,30,55
CLAUDE,jajuk,700,Device,isMounted,0.2009371479840404,0.8474794626235962,0.8249796628952026,0.8360781669616699,30,53
CLAUDE,jajuk,725,Device,unmount,0.32593413636801244,0.8549939393997192,0.8404854536056519,0.8476776480674744,34,55
CLAUDE,jajuk,820,Directory,getDevice,0.3383295056303696,0.8695995807647705,0.8294032216072083,0.8490259051322937,25,55
CLAUDE,jajuk,821,Directory,getParentDirectory,0.3132462509490412,0.8647468686103821,0.816119909286499,0.8397300243377686,31,59
CLAUDE,jajuk,840,Directory,getRelativePath,0.2731349326363256,0.8447796702384949,0.8082070350646973,0.8260887861251831,32,56
CLAUDE,jajuk,913,ItemManager,clear,0.12528063855530522,0.8514238595962524,0.8284663558006287,0.8397882580757141,22,56
CLAUDE,jajuk,961,AlbumManager,registerAlbum,0.26629264329080343,0.843363344669342,0.826486349105835,0.8348395824432373,51,60
CLAUDE,jajuk,1019,Playlist,getFiles,0.2688337663778698,0.8217612504959106,0.8225311636924744,0.8221460580825806,45,54
CLAUDE,jajuk,1062,Track,getAlbum,0.2629918940378669,0.857549250125885,0.8205106854438782,0.838621199131012,26,58
CLAUDE,jajuk,1210,File,getDirectory,0.20904060186497236,0.8549975156784058,0.8044476509094238,0.8289526700973511,26,59
CLAUDE,jajuk,1214,File,getTrack,0.2339791797970418,0.8646141290664673,0.8357096910476685,0.8499162793159485,25,53
CLAUDE,jajuk,1215,File,getAbsolutePath,0.34877101656534815,0.864497721195221,0.8099125623703003,0.8363153338432312,39,71
CLAUDE,jajuk,1366,TypeManager,clear,0.2504592525178187,0.8577585220336914,0.8345709443092346,0.846005916595459,29,59
CLAUDE,jajuk,2117,StackItem,getFile,0.27195872075683125,0.8622977137565613,0.8245179653167725,0.8429847359657288,31,56
CLAUDE,jajuk,2224,QueueList,add,0.28100897034026423,0.8472643494606018,0.8336933851242065,0.8404240608215332,32,51
CLAUDE,jajuk,2238,QueueList,remove,0.33261741400897676,0.8677143454551697,0.8438255190849304,0.8556032180786133,25,52
CLAUDE,jajuk,2654,JajukAction,perform,0.20020809251111044,0.8684825301170349,0.8588399887084961,0.8636342883110046,38,46
CLAUDE,jajuk,3854,CoverView,initUI,0.15037250802108676,0.8343361020088196,0.8243550062179565,0.8293154835700989,32,54
CLAUDE,jajuk,4079,ViewAdapter,stopAllBusyLabels,0.12202473262291648,0.851345419883728,0.8246746063232422,0.8377977609634399,20,45
CLAUDE,jajuk,8090,JajukTestCase,findJavaExecutable,0.2367379395994489,0.8571679592132568,0.798197865486145,0.8266324996948242,41,61
CLAUDE,jajuk,8091,JajukTestCase,setUp,0.2143695457194115,0.8520740270614624,0.8326419591903687,0.8422459363937378,37,62
CLAUDE,jajuk,9078,TestQueueModel,addItems,0.1577617321483485,0.850143313407898,0.8325214385986328,0.8412401080131531,37,58
CLAUDE,jajuk,9570,TestLog,verifySpool,0.18774304684821527,0.8394513726234436,0.8280842304229736,0.833729088306427,33,57
CLAUDE,jedit,1618,Buffer,getFlag,0.31474353982577,0.8594286441802979,0.8382530212402344,0.8487087488174438,35,53
CLAUDE,jedit,2124,PropertyManager,getProperty,0.11142740812689346,0.8556969165802002,0.8548970222473145,0.855296790599823,25,24
CLAUDE,jedit,2125,PropertyManager,setProperty,0.179616233874812,0.8398618102073669,0.8494997024536133,0.8446532487869263,46,20
CLAUDE,jedit,2129,PropertyManager,getDefaultProperty,0.09987780624478607,0.8313314318656921,0.8242428302764893,0.8277719616889954,28,54
CLAUDE,jedit,2411,View,getInputHandler,0.38026677724350727,0.8921208381652832,0.8820515871047974,0.8870576024055481,32,44
CLAUDE,jedit,3588,NameSpace,getNode,0.21968260501431155,0.8384888768196106,0.8267719745635986,0.8325892090797424,21,58
CLAUDE,jedit,3615,NameSpace,getMethod,0.20035848888116373,0.8349918723106384,0.8306935429573059,0.8328371644020081,45,52
CLAUDE,jedit,3616,NameSpace,getMethod,0.13904704500485843,0.8250033855438232,0.8702394962310791,0.8470178842544556,49,24
CLAUDE,jedit,3904,ParserTokenManager,jjFillToken,0.23235095637092287,0.8530412912368774,0.8388276696205139,0.8458747863769531,27,47
CLAUDE,jedit,3905,ParserTokenManager,getNextToken,0.2673020528034853,0.8289380073547363,0.8277371525764465,0.8283371925354004,42,52
CLAUDE,jedit,4346,SimpleNode,getSourceFile,0.28212519373181383,0.8410149812698364,0.8561838865280151,0.8485316038131714,41,40
CLAUDE,jedit,4441,JThis,event,0.24869001651772515,0.826501190662384,0.8290907144546509,0.8277938961982727,48,56
CLAUDE,jedit,4557,BshMethod,invoke,0.19288974758396418,0.8356732130050659,0.827182948589325,0.8314064145088196,44,52
CLAUDE,jedit,4558,BshMethod,invoke,0.17105666700246883,0.8274255990982056,0.868224561214447,0.8473342657089233,49,24
CLAUDE,jedit,4559,BshMethod,invoke,0.1423455531792569,0.8238366842269897,0.8702402114868164,0.8464029431343079,40,24
CLAUDE,jedit,4577,JavaCharStream,BeginToken,0.222055497264865,0.8616926670074463,0.8302703499794006,0.8456897735595703,39,47
CLAUDE,jedit,4580,JavaCharStream,readChar,0.170398339255328,0.830837607383728,0.844618022441864,0.8376712203025818,38,51
CLAUDE,jedit,4583,JavaCharStream,getEndColumn,0.24763475131306903,0.8581404089927673,0.8220069408416748,0.8396850824356079,24,53
CLAUDE,jedit,4584,JavaCharStream,getEndLine,0.26692099799474406,0.8609668016433716,0.8223246932029724,0.8412022590637207,23,53
CLAUDE,jedit,4587,JavaCharStream,backup,0.17052164848340162,0.84517902135849,0.807364284992218,0.8258390426635742,28,64
CLAUDE,jedit,4600,JavaCharStream,GetImage,0.2918973600668721,0.8572681546211243,0.8250214457511902,0.8408357501029968,29,57
CLAUDE,jedit,5274,Parser,getToken,0.2650157873066746,0.8477665185928345,0.8113391399383545,0.8291529417037964,25,55
CLAUDE,jedit,5928,JEditBuffer,getLineCount,0.2627969340983415,0.8742579221725464,0.8151695728302002,0.8436804413795471,19,65
CLAUDE,jedit,5930,JEditBuffer,getLineStartOffset,0.3660291489407393,0.8577530384063721,0.8370018005371094,0.8472504019737244,31,57
CLAUDE,jedit,6272,LineManager,getLineCount,0.3329751009117548,0.8627240657806396,0.8179601430892944,0.8397459387779236,24,65
CLAUDE,jhotdraw,371,FloatingTextArea,createOverlay,0.1979447426145716,0.8414598107337952,0.8508661389350891,0.8461368680000305,34,41
CLAUDE,jhotdraw,386,CTXCommandMenu,addMenuItem,0.2991698450035834,0.8472074270248413,0.832743227481842,0.8399130702018738,40,61
CLAUDE,jhotdraw,653,MDIDesktopPane,setAllSize,0.2039578235216147,0.8269249796867371,0.8186073303222656,0.8227450847625732,28,55
CLAUDE,jhotdraw,655,MDIDesktopPane,checkDesktopSize,0.19545352332528684,0.86159747838974,0.8267831206321716,0.8438313603401184,23,57
CLAUDE,jhotdraw,765,PolygonFigure,getInternalPolygon,0.34175162980566914,0.8785111308097839,0.8393287062644958,0.858473002910614,22,53
CLAUDE,jhotdraw,766,PolygonFigure,center,0.2803887962651437,0.8632311224937439,0.864626407623291,0.8639281392097473,36,40
CLAUDE,jhotdraw,1287,ZoomDrawingView,getScale,0.1531211165107617,0.8504369258880615,0.783882737159729,0.8158047199249268,20,59
CLAUDE,jhotdraw,1514,TextFigure,getText,0.27273528195427715,0.8673487305641174,0.8440711498260498,0.8555517196655273,36,54
CLAUDE,jhotdraw,1754,AttributeFigure,getAttribute,0.24724907922600298,0.8340939879417419,0.8323030471801758,0.8331975340843201,42,52
CLAUDE,jhotdraw,1980,DrawingView,drawing,0.3121799765776794,0.867315948009491,0.8356690406799316,0.8511984348297119,24,52
CLAUDE,jhotdraw,1993,DrawingView,selectionCount,0.17267061475876194,0.870948076248169,0.8243829607963562,0.847025990486145,22,55
CLAUDE,jhotdraw,2062,Figure,displayBox,0.10296348467958598,0.8368279933929443,0.8280239701271057,0.832402765750885,40,56
CLAUDE,jhotdraw,2129,FigureEnumeration,nextFigure,0.267347145548815,0.8638533353805542,0.8459560871124268,0.8548110127449036,30,51
CLAUDE,jhotdraw,2130,FigureEnumeration,hasNextFigure,0.17691211008406652,0.8546561598777771,0.8274264931678772,0.8408209085464478,20,53
