design_pattern,matched_pairs,classes,avg_cosine,cosine_std,avg_bert_precision,avg_bert_recall,avg_bert_f1,bert_f1_std
Factory Method,20,20,0.33887158551974034,0.12846590523135085,0.12936266,0.43850222,0.27995783,0.096374035
Abstract Factory,29,28,0.32920931994809055,0.08172312791858673,0.10220231,0.42972124,0.26160258,0.073646046
Facade,18,18,0.2813043493136076,0.12555672612446095,0.16757669,0.35158822,0.25852463,0.10900484
Singleton,12,12,0.26133777211406156,0.13828858789058068,0.15457202,0.35808504,0.25496358,0.13758564
Visitor,19,19,0.35026328378960087,0.10687957827339419,0.124907844,0.3852985,0.2527078,0.10720846
Decorator,14,14,0.3203534818921088,0.0820656358343524,0.13625576,0.33953285,0.23682615,0.11304394
Memento,10,10,0.2669880895867205,0.12653767607709138,0.11530252,0.3298379,0.2211161,0.10321034
Observer,14,14,0.28796564130760327,0.11084997989573626,0.09444139,0.33364838,0.21179055,0.105992615
Adapter,14,14,0.30108761861204736,0.09119670195652489,0.10993744,0.31129026,0.20973481,0.09656804
