design_pattern,matched_pairs,classes,avg_cosine,cosine_std,avg_bert_precision,avg_bert_recall,avg_bert_f1,bert_f1_std
Abstract Factory,29,28,0.3296078373272532,0.08869651921404256,0.2585189,0.4351862,0.34605828,0.07272155
Factory Method,20,20,0.273499907752366,0.1040131622268455,0.23785488,0.40901238,0.32265863,0.07330067
Visitor,19,19,0.3090692911456201,0.08895755084828513,0.27184224,0.36797848,0.32019556,0.1098602
Facade,18,18,0.2579636461572003,0.08250858529576452,0.28662893,0.32366648,0.3058838,0.09080393
Decorator,14,14,0.2785297889236421,0.08014201634016409,0.2954591,0.30407244,0.30051637,0.12766516
Singleton,12,12,0.24588790782167635,0.09568294605204904,0.25266153,0.31343266,0.28353646,0.13679232
Memento,10,10,0.2730350254893133,0.1057172644848603,0.2415353,0.31128868,0.2767449,0.13835868
Observer,14,14,0.264905478243164,0.09459958728856119,0.22116311,0.29200014,0.25693697,0.10530638
Adapter,14,14,0.29859674067272496,0.11809881485991298,0.22381021,0.2868655,0.25605318,0.11614041
