design_pattern,matched_pairs,classes,avg_cosine,cosine_std,avg_bert_precision,avg_bert_recall,avg_bert_f1,bert_f1_std
Abstract Factory,29,28,0.3075940829773928,0.08913855622199128,0.24769853,0.43254617,0.33926877,0.08016617
Visitor,19,19,0.3022478166915986,0.09181656844568853,0.2689321,0.34887466,0.30927092,0.09138269
Facade,18,18,0.2625037465041382,0.09769669790822696,0.25775808,0.30071718,0.2798332,0.084466346
Factory Method,20,20,0.21537827391626058,0.07026768382338232,0.19221392,0.36164466,0.2761194,0.05622247
Decorator,14,14,0.2619836611477429,0.08992437439127388,0.24862681,0.2826828,0.26643214,0.0994263
Memento,10,10,0.24942275051507679,0.10855151889047142,0.21046591,0.28611505,0.2484744,0.13015442
Adapter,14,14,0.2572249032657911,0.12866751907260365,0.20871301,0.2629588,0.23678967,0.10182961
Singleton,12,12,0.21114507237682256,0.10037711010295568,0.17296328,0.2778157,0.22532322,0.10660282
Observer,14,14,0.20257426368504713,0.05419985728471859,0.17250025,0.26065582,0.21679732,0.08823821
