design_pattern,matched_pairs,classes,avg_cosine,cosine_std,avg_bert_precision,avg_bert_recall,avg_bert_f1,bert_f1_std
Abstract Factory,29,28,0.26673736422452254,0.08881213532723324,0.89107394,0.8800714,0.88536525,0.012194746
Visitor,19,19,0.29805752398730173,0.08902842957834729,0.9017231,0.86473566,0.8826379,0.010743172
Factory Method,20,20,0.250435814073494,0.10087532254464879,0.89252317,0.8731885,0.8825081,0.018883444
Decorator,14,14,0.24170496721570103,0.11570768203704285,0.90245783,0.86324394,0.88223994,0.016979951
Observer,14,14,0.25613422042309864,0.10384719501141337,0.8995833,0.86605775,0.88193166,0.013934895
Adapter,14,14,0.27488758224098403,0.1241015673255488,0.90106183,0.86037874,0.8801371,0.022455508
Singleton,12,12,0.19023385933260287,0.10496100520154958,0.8997646,0.8508238,0.8743364,0.022947539
Facade,18,18,0.220388650941248,0.10224434235775423,0.8998306,0.8439858,0.87077296,0.013066127
Memento,10,10,0.23924884263386623,0.15705984448109106,0.8814499,0.860549,0.87065065,0.022685245
