design_pattern,matched_pairs,classes,avg_cosine,cosine_std,avg_bert_precision,avg_bert_recall,avg_bert_f1,bert_f1_std
Abstract Factory,29,28,0.3405618547043644,0.10794815957022169,0.1881072,0.4422852,0.31280258,0.078592084
Factory Method,20,20,0.2977104149422964,0.09212322199631935,0.1520582,0.40433392,0.2756809,0.046773378
Singleton,12,12,0.2664619273315482,0.13605595709223772,0.20210622,0.350276,0.27556124,0.11865068
Facade,18,18,0.27634803126254776,0.09792516601165008,0.22173676,0.32842562,0.27520826,0.06535898
Visitor,19,19,0.32730670580270543,0.11456634923977194,0.1529398,0.37188944,0.26101205,0.11554207
Memento,10,10,0.2868257862121039,0.13725694330184085,0.20570073,0.31648996,0.26094395,0.14794014
Decorator,14,14,0.3252030245574234,0.10599209609204555,0.19667162,0.32074237,0.25892287,0.12489137
Adapter,14,14,0.3107462827949868,0.14499242359225276,0.17068598,0.29285684,0.23191603,0.09595548
Observer,14,14,0.2907873044056427,0.10687675196361017,0.14204362,0.31652576,0.22844036,0.087054245
