method,design_pattern,matched_pairs,classes,avg_cosine,cosine_std,avg_bert_precision,avg_bert_recall,avg_bert_f1,bert_f1_std
LLM (GPT NC),Singleton,12,12,0.21752045860050265,0.10581734868865869,0.8601806,0.87981206,0.8697335,0.021134382
LLM (Mistral NC),Abstract Factory,29,28,0.3380666290217867,0.1116480229986384,0.86340433,0.90558714,0.88389665,0.013195291
LLM (Mistral NC),Factory Method,20,20,0.3063039843401265,0.11173486104803222,0.86521626,0.90142614,0.8828411,0.011688632
LLM (Mistral NC),Visitor,19,19,0.3448442952161103,0.1014401768686549,0.86192715,0.89567596,0.8783967,0.018286835
LLM (Mistral NC),Facade,18,18,0.2778522871404836,0.08015995918100367,0.86876535,0.88639134,0.87744135,0.011984315
LLM (Mistral NC),Memento,10,10,0.30691452465362046,0.1408737217383544,0.8653582,0.8876464,0.8762883,0.021244846
LLM (Mistral NC),Singleton,12,12,0.24929808181242616,0.1104058885697346,0.86308765,0.88903266,0.87576324,0.021849116
LLM (Mistral NC),Observer,14,14,0.2883033372787883,0.08341231908398043,0.86067235,0.8867435,0.8734113,0.017972989
LLM (Mistral NC),Adapter,14,14,0.30426096848075634,0.13089941805066213,0.861473,0.88270265,0.87191755,0.017217416
LLM (Mistral NC),Decorator,14,14,0.26953343966653404,0.0673471990354646,0.86081934,0.8831992,0.8717789,0.01680792
LLM (Qwen NC),Abstract Factory,29,28,0.340572247307279,0.11301445437133238,0.86232454,0.9055606,0.88332856,0.013432647
LLM (Qwen NC),Factory Method,19,19,0.31159317424262795,0.14405727315468847,0.8651672,0.9022553,0.8832729,0.013443539
LLM (Qwen NC),Visitor,19,19,0.33499455936569367,0.10009391295538497,0.8592353,0.8910662,0.87476873,0.018516453
LLM (Qwen NC),Facade,18,18,0.2711522726215947,0.1045247405486695,0.86399597,0.8840242,0.87382805,0.017072665
LLM (Qwen NC),Singleton,12,12,0.2290856524964082,0.11796678654962875,0.8602167,0.8860002,0.8728557,0.020409975
LLM (Qwen NC),Memento,10,10,0.285915887846423,0.1686695531532777,0.8572277,0.8849136,0.8708003,0.023832608
LLM (Qwen NC),Observer,14,14,0.26928427732861526,0.08636264283555703,0.857201,0.8840475,0.8703224,0.016772905
LLM (Qwen NC),Decorator,14,14,0.2862178395344607,0.07675093303432948,0.86050475,0.8802392,0.8702155,0.018154612
LLM (Qwen NC),Adapter,14,14,0.2615570759442642,0.09917145099947723,0.8508622,0.87457186,0.8625046,0.014150724
