design_pattern,matched_pairs,classes,avg_cosine,cosine_std,avg_bert_precision,avg_bert_recall,avg_bert_f1,bert_f1_std
Abstract Factory,29,28,0.2864774666438878,0.10383205729729274,0.86892307,0.89870536,0.8835167,0.01458617
Visitor,19,19,0.2929102932940083,0.08365063678006325,0.8740333,0.88996345,0.8818723,0.016295124
Facade,18,18,0.2469382365555256,0.11125686067561433,0.87383705,0.884465,0.8790431,0.016017534
Factory Method,20,20,0.22852384988604454,0.08223787119495815,0.8642314,0.8931376,0.87831813,0.0111013055
Decorator,14,14,0.2749392310245294,0.07096768145169277,0.87435037,0.87795895,0.87608755,0.016503409
Memento,10,10,0.2752853124607166,0.1057552539970582,0.87261045,0.87969196,0.87601984,0.019151963
Adapter,14,14,0.25129710436370745,0.09906674304098187,0.8677179,0.8756146,0.8716246,0.017954595
Observer,14,14,0.22246002106599283,0.08851828380465858,0.8604019,0.8789182,0.86939305,0.015040141
Singleton,12,12,0.2167697942667105,0.10483010149855042,0.85746795,0.8786864,0.86776257,0.01912061
